player,opp,surface,indoor,tourney_date,best_of,ace,df,svpt,svgms,tourney_name,round,score,won,sv_1in,sv_1won,sv_2won,bp_saved,bp_faced,rank,opp_rank
Ugo Humbert,Pablo Cuevas,Hard,O,20190107,3,6.0,3.0,58.0,10.0,Auckland,R32,7-5 6-1,1,34.0,26.0,15.0,1.0,2.0,98.0,90.0
Tennys Sandgren,Maximilian Marterer,Hard,O,20190107,3,6.0,1.0,66.0,10.0,Auckland,R32,6-3 6-4,1,35.0,25.0,18.0,4.0,6.0,63.0,70.0
Matteo Berrettini,Mackenzie McDonald,Hard,O,20190107,3,14.0,2.0,61.0,10.0,Auckland,R32,6-3 6-4,1,40.0,32.0,11.0,2.0,3.0,52.0,79.0
Leonardo Mayer,Steve Johnson,Hard,O,20190107,3,2.0,2.0,59.0,10.0,Auckland,R32,7-5 6-3,1,31.0,22.0,19.0,1.0,2.0,54.0,33.0
Rubin Statham,Hyeon Chung,Hard,O,20190107,3,2.0,5.0,63.0,11.0,Auckland,R32,7-5 6-3,1,39.0,29.0,12.0,2.0,4.0,360.0,25.0
Jan-Lennard Struff,Laslo Djere,Hard,O,20190107,3,0.0,5.0,53.0,7.0,Auckland,R32,7-6(5) 2-0 RET,1,27.0,21.0,13.0,3.0,4.0,58.0,91.0
David Ferrer,Robin Haase,Hard,O,20190107,3,3.0,1.0,40.0,7.0,Auckland,R32,6-2 6-1,1,28.0,21.0,8.0,1.0,2.0,124.0,49.0
Joao Sousa,Denis Shapovalov,Hard,O,20190107,3,3.0,3.0,105.0,15.0,Auckland,R32,4-6 6-4 6-4,1,62.0,41.0,18.0,8.0,12.0,44.0,27.0
Cameron Norrie,Benoit Paire,Hard,O,20190107,3,2.0,1.0,53.0,9.0,Auckland,R32,6-3 6-2,1,42.0,33.0,7.0,4.0,4.0,93.0,55.0
Taylor Fritz,Marius Copil,Hard,O,20190107,3,12.0,4.0,88.0,15.0,Auckland,R32,4-6 6-3 6-4,1,52.0,46.0,18.0,5.0,6.0,50.0,61.0
Fabio Fognini,Peter Gojowczyk,Hard,O,20190107,3,5.0,4.0,105.0,14.0,Auckland,R16,6-2 3-6 7-6(5),1,73.0,51.0,15.0,7.0,10.0,13.0,60.0
Philipp Kohlschreiber,Ugo Humbert,Hard,O,20190107,3,3.0,0.0,43.0,10.0,Auckland,R16,6-4 6-4,1,30.0,28.0,12.0,0.0,0.0,34.0,98.0
Tennys Sandgren,Marco Cecchinato,Hard,O,20190107,3,13.0,0.0,47.0,9.0,Auckland,R16,6-3 6-3,1,35.0,31.0,6.0,0.0,0.0,63.0,18.0
Leonardo Mayer,Matteo Berrettini,Hard,O,20190107,3,7.0,7.0,114.0,17.0,Auckland,R16,5-7 7-6(5) 6-3,1,75.0,54.0,23.0,5.0,6.0,54.0,52.0
Jan-Lennard Struff,Rubin Statham,Hard,O,20190107,3,12.0,0.0,48.0,8.0,Auckland,R16,6-2 6-1,1,29.0,24.0,12.0,3.0,3.0,58.0,360.0
Pablo Carreno Busta,David Ferrer,Hard,O,20190107,3,0.0,0.0,8.0,1.0,Auckland,R16,1-1 RET,1,2.0,2.0,3.0,0.0,0.0,24.0,124.0
Cameron Norrie,Joao Sousa,Hard,O,20190107,3,6.0,2.0,73.0,11.0,Auckland,R16,7-6(5) 6-4,1,54.0,42.0,12.0,6.0,6.0,93.0,44.0
Taylor Fritz,John Isner,Hard,O,20190107,3,12.0,2.0,86.0,12.0,Auckland,R16,7-6(3) 7-6(5),1,57.0,45.0,14.0,3.0,4.0,50.0,10.0
Philipp Kohlschreiber,Fabio Fognini,Hard,O,20190107,3,5.0,1.0,53.0,8.0,Auckland,QF,6-3 6-1,1,35.0,27.0,10.0,2.0,2.0,34.0,13.0
Tennys Sandgren,Leonardo Mayer,Hard,O,20190107,3,11.0,1.0,66.0,11.0,Auckland,QF,6-3 7-6(5),1,41.0,34.0,15.0,0.0,0.0,63.0,54.0
Jan-Lennard Struff,Pablo Carreno Busta,Hard,O,20190107,3,22.0,3.0,125.0,18.0,Auckland,QF,7-6(5) 6-7(6) 7-6(7),1,80.0,66.0,20.0,2.0,4.0,58.0,24.0
Cameron Norrie,Taylor Fritz,Hard,O,20190107,3,11.0,0.0,77.0,11.0,Auckland,QF,7-6(3) 6-3,1,48.0,39.0,15.0,4.0,4.0,93.0,50.0
Tennys Sandgren,Philipp Kohlschreiber,Hard,O,20190107,3,9.0,0.0,47.0,9.0,Auckland,SF,6-4 6-2,1,33.0,31.0,7.0,3.0,3.0,63.0,34.0
Cameron Norrie,Jan-Lennard Struff,Hard,O,20190107,3,17.0,5.0,103.0,16.0,Auckland,SF,7-5 4-6 6-3,1,76.0,56.0,12.0,8.0,10.0,93.0,58.0
Tennys Sandgren,Cameron Norrie,Hard,O,20190107,3,7.0,2.0,62.0,9.0,Auckland,F,6-4 6-2,1,37.0,28.0,13.0,4.0,5.0,63.0,93.0
Jordan Thompson,Adrian Mannarino,Hard,O,20190107,3,6.0,1.0,70.0,9.0,Sydney,R32,6-3 6-3,1,46.0,31.0,15.0,7.0,7.0,72.0,41.0
Reilly Opelka,Albert Ramos-Vinolas,Hard,O,20190107,3,16.0,0.0,49.0,10.0,Sydney,R32,6-3 6-4,1,36.0,33.0,8.0,0.0,0.0,102.0,65.0
Alex de Minaur,Dusan Lajovic,Hard,O,20190107,3,2.0,1.0,62.0,10.0,Sydney,R32,6-4 6-3,1,38.0,30.0,12.0,2.0,3.0,29.0,45.0
Sam Querrey,Malek Jaziri,Hard,O,20190107,3,8.0,1.0,26.0,6.0,Sydney,R32,6-1 4-1 RET,1,17.0,17.0,7.0,0.0,0.0,48.0,42.0
John Millman,Frances Tiafoe,Hard,O,20190107,3,12.0,3.0,110.0,17.0,Sydney,R32,4-6 7-6(5) 7-5,1,62.0,47.0,22.0,1.0,5.0,38.0,39.0
Marton Fucsovics,James Duckworth,Hard,O,20190107,3,2.0,4.0,76.0,14.0,Sydney,R32,3-6 6-3 6-4,1,43.0,32.0,19.0,0.0,2.0,35.0,238.0
Andrey Rublev,Lucas Pouille,Hard,O,20190107,3,4.0,2.0,40.0,8.0,Sydney,R32,6-2 6-3,1,26.0,24.0,8.0,0.0,0.0,84.0,30.0
Yoshihito Nishioka,Ryan Harrison,Hard,O,20190107,3,2.0,0.0,47.0,9.0,Sydney,R32,6-4 6-2,1,31.0,22.0,15.0,2.0,2.0,75.0,81.0
Guillermo Garcia-Lopez,Denis Kudla,Hard,O,20190107,3,3.0,1.0,77.0,11.0,Sydney,R32,7-5 6-4,1,45.0,29.0,16.0,6.0,9.0,101.0,62.0
Andreas Seppi,Jeremy Chardy,Hard,O,20190107,3,9.0,5.0,95.0,15.0,Sydney,R32,7-5 2-6 6-4,1,48.0,40.0,19.0,10.0,14.0,37.0,36.0
Martin Klizan,Alexei Popyrin,Hard,O,20190107,3,3.0,2.0,114.0,17.0,Sydney,R32,7-6(4) 4-6 7-6(5),1,61.0,48.0,28.0,3.0,5.0,40.0,149.0
Guido Andreozzi,Matthew Ebden,Hard,O,20190107,3,7.0,5.0,93.0,14.0,Sydney,R32,3-6 6-3 6-4,1,53.0,39.0,20.0,4.0,6.0,80.0,47.0
Jordan Thompson,Taro Daniel,Hard,O,20190107,3,9.0,2.0,84.0,14.0,Sydney,R16,3-6 7-6(5) 6-0,1,59.0,43.0,12.0,2.0,5.0,72.0,78.0
Alex de Minaur,Reilly Opelka,Hard,O,20190107,3,3.0,1.0,60.0,11.0,Sydney,R16,6-4 7-6(5),1,33.0,29.0,19.0,0.0,0.0,29.0,102.0
Gilles Simon,Sam Querrey,Hard,O,20190107,3,5.0,0.0,111.0,17.0,Sydney,R16,7-6(5) 6-7(6) 6-4,1,77.0,61.0,14.0,6.0,9.0,31.0,48.0
John Millman,Marton Fucsovics,Hard,O,20190107,3,0.0,2.0,57.0,10.0,Sydney,R16,6-3 6-4,1,39.0,28.0,13.0,1.0,2.0,38.0,35.0
Yoshihito Nishioka,Andrey Rublev,Hard,O,20190107,3,1.0,1.0,63.0,8.0,Sydney,R16,6-3 6-1,1,43.0,28.0,11.0,5.0,6.0,75.0,84.0
Diego Schwartzman,Guillermo Garcia-Lopez,Hard,O,20190107,3,1.0,3.0,44.0,8.0,Sydney,R16,6-2 6-3,1,22.0,18.0,14.0,0.0,1.0,19.0,101.0
Andreas Seppi,Martin Klizan,Hard,O,20190107,3,11.0,4.0,76.0,10.0,Sydney,R16,7-6(2) 6-2,1,53.0,39.0,7.0,4.0,6.0,37.0,40.0
Stefanos Tsitsipas,Guido Andreozzi,Hard,O,20190107,3,8.0,1.0,56.0,10.0,Sydney,R16,6-3 6-4,1,38.0,28.0,10.0,0.0,1.0,15.0,80.0
Alex de Minaur,Jordan Thompson,Hard,O,20190107,3,2.0,0.0,75.0,11.0,Sydney,QF,7-6(4) 6-3,1,50.0,35.0,13.0,4.0,7.0,29.0,72.0
Gilles Simon,John Millman,Hard,O,20190107,3,2.0,1.0,90.0,16.0,Sydney,QF,7-5 3-6 7-6(3),1,60.0,42.0,17.0,5.0,9.0,31.0,38.0
Diego Schwartzman,Yoshihito Nishioka,Hard,O,20190107,3,7.0,1.0,75.0,14.0,Sydney,QF,6-1 3-6 7-6(1),1,46.0,38.0,17.0,0.0,2.0,19.0,75.0
Andreas Seppi,Stefanos Tsitsipas,Hard,O,20190107,3,2.0,0.0,84.0,15.0,Sydney,QF,4-6 6-4 6-4,1,48.0,35.0,27.0,6.0,7.0,37.0,15.0
Alex de Minaur,Gilles Simon,Hard,O,20190107,3,1.0,0.0,62.0,9.0,Sydney,SF,6-3 6-2,1,35.0,27.0,18.0,5.0,5.0,29.0,31.0
Andreas Seppi,Diego Schwartzman,Hard,O,20190107,3,3.0,1.0,66.0,11.0,Sydney,SF,7-6(3) 6-4,1,40.0,26.0,16.0,5.0,8.0,37.0,19.0
Alex de Minaur,Andreas Seppi,Hard,O,20190107,3,4.0,4.0,82.0,12.0,Sydney,F,7-5 7-6(5),1,60.0,45.0,7.0,0.0,2.0,29.0,37.0
Novak Djokovic,Mitchell Krueger,Hard,O,20190114,5,6.0,2.0,65.0,13.0,Australian Open,R128,6-3 6-2 6-2,1,48.0,41.0,10.0,1.0,2.0,1.0,230.0
Jo-Wilfried Tsonga,Martin Klizan,Hard,O,20190114,5,23.0,4.0,89.0,16.0,Australian Open,R128,6-4 6-4 7-6(5),1,53.0,50.0,20.0,0.0,0.0,177.0,40.0
